Quality Supplement Mfg,,,,,,,
On Hand,,,,,,,
 ,,,,,,,
Part Number,Description,Qty,,Location,Tracking,,
Main,,,,,,,
L#373a,Vitalfuse Lid Sticker,"1,705.00",ea,Bottle Packaging,,,
PS#10015-ALPHA,200cc Black PET Bottle 38-400,1.00,ea,Building F,"Lot#: F181488
",,
PS#10031,16 oz Black PET Single Wall Jar 89-400,1.00,ea,Building F,"Lot#: 4212921
",,
PS#10033,20oz White HDPE Canister 89-400,1.00,ea,Building F,"Lot#: 895612
",,
PS#10161-AMCOR,250cc Black PET Bottles 45-400 neck finish,1.00,ea,Building F,"Lot#: 3254907
",,
PS#10244,"Tyvek� Bag Desiccants - Unit Size 16, 34 Gallon Drum 150 bags/drum",1.00,ea,Building F,"Lot#: 5-1606
",,
PS#10311,55oz Black HDPE Canister 120-400,"1,320.00",ea,Building F,"Lot#: 06/01/20
",,
PS#10322,15x15x12 Box,13.00,ea,Building F,,,
CS#5063,Wild Yam Root P.E. 4:1,4.352,kg,Expired Powders,"ExpDate: 2019-07-31

Lot#: SB16-H081583
",,
CS#5079,L-Lysine Monohydrochloride,1.878,kg,Expired Powders,"ExpDate: 2021-04-01

Lot#: SBS-5090617
",,
CS#5091,MCH-Cal Microcrystalline Hydroxyappetite Calcium,7.50,kg,Expired Powders,"ExpDate: 2019-03-22

Lot#: 61873
",,
CS#5172,Vitamin K1 1%,7.013,kg,Expired Powders,"ExpDate: 2019-03-01

Lot#: 059371
",,
CS#5172,Vitamin K1 1%,20.00,kg,Expired Powders,"ExpDate: 2019-03-01

Lot#: 080701
",,
CS#5186,Rice Bran Meal,14.649,kg,Expired Powders,,,
CS#5195,Glucose,25.00,kg,Expired Powders,"ExpDate: 2020-05-05

Lot#: 20180506
",,
CS#5206,goBHB® Calcium Beta-Hydroxybutyrate,125.00,kg,Expired Powders,"ExpDate: 2020-06-14

Lot#: 28C-KY20180606
",,
CS#5207,goBHB® Magnesium Beta-Hydroxybutyrate,42.57,kg,Expired Powders,"ExpDate: 2020-09-07

Lot#: 28D-KY20180702
",,
CS#5208,goBHB® Sodium Beta-Hydroxybutyrate,8.308,kg,Expired Powders,"ExpDate: 2020-06-29

Lot#: 28A-KY20180607
",,
CS#5219,Vitamin K1 (1% Phytonadione),0.046,kg,Expired Powders,"ExpDate: 2021-06-24

Lot#: 634376
",,
CS#5227,Phytosterols 90% (Glycine max) (Soy),1.00,kg,Expired Powders,"ExpDate: 2021-06-01

Lot#: SBS-5020146
",,
CS#5228,L-Ornithine Mono HCl,2.00,kg,Expired Powders,"ExpDate: 2021-01-01

Lot#: SBS-5100731
",,
R018,Damiana Leaf Powder,8.435,kg,Expired Powders,"ExpDate: 2020-12-06

Lot#: SB17-H071201
",,
R023,Fennel Seed Powder,1.795,kg,Expired Powders,"ExpDate: 2021-01-06

Lot#: SBS-5080579
",,
R031,Zinc Aspartate 20%,6.813,kg,Expired Powders,"ExpDate: 2020-09-01

Lot#: 521839
",,
R032,Manganese Gluconate 11%,2.945,kg,Expired Powders,"ExpDate: 2020-12-01

Lot#: 538679
",,
R043,L-Phenylalanine,5.82,kg,Expired Powders,"ExpDate: 2021-07-03

Lot#: 20160308
",,
R060,Green Lipped Mussel (Perna Canalculus),21.055,kg,Expired Powders,"ExpDate: 2020-01-27

Lot#: 20170127
",,
R067,Dandelion Root Extract 4:1,0.508,kg,Expired Powders,"ExpDate: 2020-10-22

Lot#: CO301810025
",,
R068,Lycopene 5%,1.119,kg,Expired Powders,"ExpDate: 2020-09-19

Lot#: LY20190920
",,
R073,Yellow Dock Root Powder,5.00,kg,Expired Powders,"ExpDate: 2020-01-02

Lot#: SBQ-S050475
",,
R084,Red Rice Yeast PE 0.2%,15.605,kg,Expired Powders,"ExpDate: 2020-07-03

Lot#: HM-170308
",,
R1004,PQQ (Pyrroloquinoline Quinone Disodium),0.435,kg,Expired Powders,"ExpDate: 2020-12-13

Lot#: M181201
",,
R1005,Natural Orange Flavor (Mack),15.00,kg,Expired Powders,"ExpDate: 2020-01-28

Lot#: 17379-192904-01
",,
R101,Apple Pectin Powder,5.00,kg,Expired Powders,"ExpDate: 2020-01-02

Lot#: SBR-S050469
",,
R1010,VASO6�,9.861,kg,Expired Powders,"ExpDate: 2021-02-28

Lot#: 190301-06
",,
R1011,L-Citrulline DL-Malate 1:1,237.144,kg,Expired Powders,"ExpDate: 2021-03-05

Lot#: C561906009
",,
R1011,L-Citrulline DL-Malate 1:1,10.325,kg,Expired Powders,"ExpDate: 2021-03-15

Lot#: C561903023
",,
R1011,L-Citrulline DL-Malate 1:1,1.011,kg,Expired Powders,"ExpDate: 2021-03-16

Lot#: C561903024
",,
R1016,Pancreatin (4X USP),24.021,kg,Expired Powders,"ExpDate: 2020-12-01

Lot#: NIGFPNCR4-1906V069C17
",,
R1027,Organic Blessed Thistle Powder,4.854,kg,Expired Powders,"ExpDate: 2021-02-01

Lot#: 0922A-OUP
",,
R1032,Iron (Ferrous Sulfate),15.00,kg,Expired Powders,"ExpDate: 2019-10-31

Lot#: 67207-1810
",,
R1034,Codonopsis Extract 4:1,20.00,kg,Expired Powders,"ExpDate: 2020-03-20

Lot#: PIR20180321-R
",,
R1036,Turmeric Root Extract 4:1 (Natural),4.596,kg,Expired Powders,"ExpDate: 2021-07-22

Lot#: CJH-A-802706
",,
