Quality Supplement Mfg,,,,,,,,,,
Inventory Availability,,,,,,,,,,
  ,,,,,,,,,,
Part,Description,UOM,"On
Hand",Allocated,"Not
Available","Drop
Ship",Available,"On
Order",Committed,Short
BG001,"Power Clean Pet Tablet - Bulk - Power Clean 2000, Inc.",thou,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
BG004,Super Memory Formula - Bulk - New Age Products,thou,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
BG007,Lutein Eye Tablet - 7/16 Round Yellow - Bulk - Ameta,thou,70.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00
BG009,Lutein Eye Tablet - Medium Oval Yellow - Bulk - Ameta,thou,0.00,"1,320.00",0.00,0.00,0.00,"1,320.00",0.00,"1,320.00"
BG015,Glucosamine Tablet White - Bulk - Ameta,tab,"305,600.00","330,000.00",0.00,0.00,0.00,0.00,"305,600.00","24,400.00"
BG021,White Mulberry Pure 500 mg - Bulk - Vox,thou,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
BG034,BCAA Post Workout (Fruit Punch) - Bulk Powder - Vox Nutrition,kg,0.50,"1,320.00",0.00,0.00,0.00,"1,320.00",0.00,"1,319.50"
BG035,Nitric Shock Pre Workout (Fruit Punch) - Bulk Powder - Vox Nutrition,kg,0.00,"2,420.00",0.00,0.00,0.00,"2,420.00",0.00,"2,420.00"
BG038,Male Enhancement - Bulk - Vox Nutrition,thou,"1,553.00","5,500.00",0.00,0.00,0.00,"5,500.00",0.00,"3,947.00"
BG041,Potassium Iodate 170 mg - Bulk - Eversco,tab,"1,795.00","37,000.00",0.00,0.00,0.00,0.00,0.00,"35,205.00"
BG043,Superflex - Bulk Powder - Kirk Steirwalt,kg,1.00,"4,673.00",0.00,0.00,0.00,"4,673.00",0.00,"4,672.00"
BG050,Joint Support - Bulk - Regentec Pte Ltd,tab,0.00,"8,362,200.00",0.00,0.00,0.00,"8,364,000.00",0.00,"8,362,200.00"
BG077,Sta Sound - Bulk Powder - 5 Star Solutions,kg,0.00,732.00,0.00,0.00,0.00,732.00,0.00,732.00
BG084,Organic Turmeric w/ Ginger - Bulk - Vox Nutrition,cap,0.00,"11,000,000.00",0.00,0.00,0.00,"11,000,000.00",0.00,"11,000,000.00"
BG093,Low Potency Multi Vitamin - Bulk - Ameta,tab,"298,965.00","330,000.00",0.00,0.00,0.00,0.00,"298,965.00","31,035.00"
BG097,Eversco #2002 - Bulk - Eversco,thou,0.00,250.00,0.00,0.00,0.00,250.00,0.00,250.00
BG098,OxyActin - Bulk - Exceptional Health Products,cap,0.00,"275,155.00",0.00,0.00,0.00,"280,000.00",0.00,"275,155.00"
BG121,5-HTP - Bulk - Vox Nutrition,cap,232.00,"5,500,000.00",0.00,0.00,0.00,"5,500,000.00",0.00,"5,499,768.00"
